,df,Plant type,Treatment,Dose ,sample,group,apH_beforefertilization,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_Firstclip,dDry biomass_firstclip,dFresh biomass_Secondclip,dDry biomass_Secondclip,epH_before_Secondfertilization,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates_Before first fertilization ,kNitrate_Second Lechates_Before first fertilization ,lPhosphate_Second Lechates_Before first fertilization ,pH Harvest day,EC harvest day,Root Length (cm),Nodules Count,Shoot Biomass_harvestday Fresh ,Shoot Biomass_harvestday dry ,Root Biomass_harvestday,Root Biomass_harvestday dry ,Harvest day_Ammonium lechates (mg N/L) ,Chlorphyll data,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Roots ,Si   (%),Na _(ppm),Mg_ (ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Al_(ppm)_Root,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm)
16,B,P,4,MF_200,iBCF200_1,iBCF200,5.48,5.48,14.5,9,14,4.58,9.84,4.45,4.73,0.46,39,17,18.9,26.982,45.1142,0.422,4.64,0.51,23,0,39.79,29.16,21.88,7.3,0.0096,18.9,0.852,4004,979,4,1791,27867,4759,-46,30676,1.82,332.288,4,195,11566,89,,0.345,578,1745,2404,14967,2061,249,4241,0.74,576.096,6,116,2020,97,286,0.345,578,1745,286,2404,14967,2061,249,4241,0.74,576.096,6,116,2020,97
17,B,P,4,MF_200,iBCF200_2,iBCF200,5.52,5.49,10.5,7,15,4.64,9.39,4.48,4.7,0.56,37.9,18,20.2,83.162,38.9386,0.362,4.77,0.66,22,0,37.97,29.47,23.64,7.62,0.0523,20.2,1.012,5127,361,5,1919,29530,3708,151,39626,2.16,362.597,5,87,8511,62,,3.7,-51,1618,516,1961,2327,1709,4377,7.91,456.021,9,179,673,184,608,3.7,-51,1618,608,516,1961,2327,1709,4377,7.91,456.021,9,179,673,184
18,B,P,4,MF_200,iBCF200_3,iBCF200,5.54,5.45,12.2,9,14,4.59,9.18,4.43,4.83,0.75,37.6,22,21.6,28.589,35.313,0.803,4.84,0.5,22,0,37.61,29.93,28.27,8.74,0.0025,21.6,0.726,4273,647,-19,1735,27754,3325,71,33013,1.55,337.061,4,103,7559,78,,3.159,210,1579,690,3869,2302,1973,6167,6.76,431.524,8,157,813,112,922,3.159,210,1579,922,690,3869,2302,1973,6167,6.76,431.524,8,157,813,112
19,B,P,4,MF_200,iBCF200_4,iBCF200,5.56,5.44,12.8,9,14.5,4.51,8.83,4.41,4.56,0.53,33,20,19.2,83.285,19.245,0.354,4.97,0.53,23,0,37.43,29.17,32.54,9.27,2.9685,19.2,0.797,4539,476,-4,1667,26109,3256,51,34973,1.71,383.5,4,112,7040,60,,5.252,-80,1530,227,3287,2265,2528,6535,11.23,355.979,7,154,550,91,755,5.252,-80,1530,755,227,3287,2265,2528,6535,11.23,355.979,7,154,550,91
20,B,P,4,MF_200,iBCF200_5,iBCF200,5.58,5.51,11.1,9,13.5,4.74,8.28,4.53,4.43,0.65,37.8,20,19.1,62.889,0.0117,0.193,4.75,0.65,21,0,42.67,30.44,33.96,10.39,0.0045,19.1,0.165,1587,1596,-74,2242,28494,11561,-61,11905,0.35,322.438,5,163,3508,117,,4.379,113,1609,464,4247,2437,3441,5711,9.37,492.094,8,181,503,94,1588,4.379,113,1609,1588,464,4247,2437,3441,5711,9.37,492.094,8,181,503,94
21,B,P,5,C,jBCK_1,jBCK,5.6,5.35,10.4,9,15.2,4.32,10,4.36,6.19,0.6,45.1,19,15.7,-0.331,0.8762,0.063,5.78,0.6,20,0,29.64,26.79,12.68,5.53,0.0058,15.7,1.398,4841,338,129,3456,19304,4373,387,38221,2.99,288.731,5,63,5309,44,,3.273,382,1477,1346,4981,1507,804,6880,7,367.742,9,115,1160,153,593,3.273,382,1477,593,1346,4981,1507,804,6880,7,367.742,9,115,1160,153
22,B,P,5,C,jBCK_2,jBCK,5.62,5.49,10.5,6,16.32,4.32,13.32,4.3,6.25,0.68,59.3,10,21.2,-0.458,0.0586,0.126,5.76,0.68,21,0,29.6,26.62,16.71,6.54,0.019,21.2,1.131,3758,766,121,2885,17254,2644,137,30112,2.42,287.111,4,63,3806,30,,2.368,215,1569,1381,4408,1156,993,5367,5.06,446.073,8,79,386,103,567,2.368,215,1569,567,1381,4408,1156,993,5367,5.06,446.073,8,79,386,103
23,B,P,5,C,jBCK_3,jBCK,5.64,5.54,11.8,3,10,4.73,9.36,4.41,5.79,0.51,46.5,11,19.5,-0.47,0.2339,0.175,5.81,0.51,22,0,29.58,27.12,13.84,5.78,-0.0091,19.5,1.442,3889,706,144,3335,18522,3359,242,31042,3.09,357.558,4,101,5655,36,,1.959,412,1534,1493,6189,1568,602,6878,4.19,329.794,10,72,1453,202,379,1.959,412,1534,379,1493,6189,1568,602,6878,4.19,329.794,10,72,1453,202
24,B,P,5,C,jBCK_4,jBCK,5.66,5.43,11.8,4,10.5,4.42,7.3,4.43,6.26,0.61,44.2,17,19.8,-0.458,0.0586,0.329,5.65,0.61,24,0,6.08,5.53,9.63,4.94,0.0228,19.8,1.606,6864,-153,234,2299,9634,6968,370,53184,3.44,346.316,5,54,5629,62,,4.684,110,1543,852,4245,1837,1795,6890,10.02,500.026,10,111,754,197,746,4.684,110,1543,746,852,4245,1837,1795,6890,10.02,500.026,10,111,754,197
25,B,P,5,C,jBCK_5,jBCK,5.68,5.48,12.2,7,10.53,4.52,7.07,4.76,6.13,0.62,42.2,16,18.3,-0.47,0.2339,0.406,5.9,0.62,25,0,6.48,5.96,11.93,6.3,0.0228,18.3,1.747,4272,518,243,2860,14256,5165,418,35547,3.74,296.793,5,72,6520,50,,3.608,-22,1634,605,3632,2572,800,4074,7.72,413.431,9,332,1553,134,647,3.608,-22,1634,647,605,3632,2572,800,4074,7.72,413.431,9,332,1553,134
