,df,Plant type,Treatment,Dose ,sample,group,apH_beforefertilization,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_Firstclip,dDry biomass_firstclip,dFresh biomass_Secondclip,dDry biomass_Secondclip,epH_before_Secondfertilization,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates_Before first fertilization ,kNitrate_Second Lechates_Before first fertilization ,lPhosphate_Second Lechates_Before first fertilization ,pH Harvest day,EC harvest day,Root Length (cm),Nodules Count,Shoot Biomass_harvestday Fresh ,Shoot Biomass_harvestday dry ,Root Biomass_harvestday,Root Biomass_harvestday dry ,Harvest day_Ammonium lechates (mg N/L) ,Chlorphyll data,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Roots ,Si   (%),Na _(ppm),Mg_ (ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm),Al_(ppm)_Root,Si   (%),Na _(ppm),Mg_ (ppm),Al_(ppm),P_(ppm),K_(ppm),Ca_(ppm),Fe_(ppm),Cl_(ppm),SiO2_(%),Ag_(cps)   ,Cu_(ppm),Mn_(ppm),S_(ppm),Zn_(ppm)
11,A,L,3,MF_100,cACF100_1,cACF100,5.62,5.34,18,8,11,4.41,10.82,4.32,5.92,0.6,45.4,20,49.6,4.867,53.4313,0.037,5.12,0.63,26,16,37.46,27.92,10.25,8.32,0.081,49.6,0.296,1986,1418,-29,1981,29139,10735,144,14827,0.63,377.502,6,68,3180,81,,0.459,604,1657,2305,11039,2226,267,6143,0.98,343.339,7,81,2585,137,296,0.459,604,1657,296,2305,11039,2226,267,6143,0.98,343.339,7,81,2585,137
12,A,L,3,MF_100,cACF100_2,cACF100,5.64,5.45,12,5,11,4.31,11.56,4.41,5.41,0.62,47.4,16,45.7,0.22,33.6288,0.081,5.47,0.62,28,20,37.49,27.78,16.74,8.29,0.195,45.7,0.225,2014,1381,-13,2000,23559,10471,70,15909,0.48,345.184,5,82,1968,91,,0.431,451,1652,2525,8068,2362,273,4117,0.92,415.295,6,53,2135,74,403,0.431,451,1652,403,2525,8068,2362,273,4117,0.92,415.295,6,53,2135,74
13,A,L,3,MF_100,cACF100_3,cACF100,5.66,5.49,27,5,13,4.42,13.39,4.37,5.36,0.6,49.5,11,48.9,10.099,26.1059,0.092,5.36,0.6,24,22,36.9,28.48,18,8.39,0.0132,48.9,0.241,2024,1370,-27,1815,24185,9327,64,15661,0.52,441.049,5,98,2543,83,,0.367,-99,1769,1237,5071,1072,194,2602,0.78,258.448,5,56,371,84,353,0.367,-99,1769,353,1237,5071,1072,194,2602,0.78,258.448,5,56,371,84
14,A,L,3,MF_100,cACF100_4,cACF100,5.68,5.22,13.5,4,11,4.28,10.36,4.22,5.06,0.54,52,12,41,8.851,26.9327,0.606,5.14,0.54,26,18,38.99,26.74,15.91,7.39,0.0776,41,0.332,2117,1402,-9,2070,28243,11793,120,16337,0.71,337.707,6,105,3702,176,,0.984,561,1646,2574,12456,2056,388,5131,2.1,419.501,7,123,2771,145,359,0.984,561,1646,359,2574,12456,2056,388,5131,2.1,419.501,7,123,2771,145
15,A,L,3,MF_100,cACF100_5,cACF100,5.7,5.46,15.3,5,12,4.28,12.81,4.26,5.69,0.59,44.5,16,43.2,36.108,12.9954,1.076,5.34,0.59,26,20,38.42,28.31,15.32,7.47,0.1594,43.2,0.282,2238,1285,-65,2088,29728,11181,98,17367,0.6,337.38,5,93,3211,104,,3.05,632,1457,1284,7416,3647,1058,9203,6.52,352.017,8,130,3165,292,627,3.05,632,1457,627,1284,7416,3647,1058,9203,6.52,352.017,8,130,3165,292
16,A,L,4,MF_200,dACF200_1,dACF200,5.72,5.45,22,6,12,4.41,11.87,4.18,4.79,0.49,44.9,16,45.3,85.508,3.3709,0.12,4.93,0.58,25,8,39.83,28.74,16.95,8.17,0.3178,45.3,0.238,1796,1559,-122,2230,32030,11357,-44,12493,0.51,471.551,6,187,4094,123,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,A,L,4,MF_200,dACF200_2,dACF200,5.74,5.42,18.6,7,16,4.37,15.72,4.39,4.88,0.57,54.5,12,44.1,43.745,12.1882,0.216,4.64,0.57,23,7,36.78,25.63,17.58,8.83,0.6909,44.1,0.512,291,1694,464,2342,9721,1925,263,2951,1.1,479.201,6,103,1802,91,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,A,L,4,MF_200,dACF200_3,dACF200,5.76,5.36,19.2,7,10,4.38,9.37,4.24,4.77,0.66,39,14,48,91.427,20.7761,0.547,4.45,0.66,22,7,41.25,29.01,17.42,8.78,0.0905,48,0.279,2180,1331,-95,2088,32352,11527,1,15934,0.6,456.507,6,185,3135,84,,0.388,427,1665,2648,12485,1884,184,3850,0.83,415.509,5,97,2112,85,279,0.388,427,1665,279,2648,12485,1884,184,3850,0.83,415.509,5,97,2112,85
19,A,L,4,MF_200,dACF200_4,dACF200,5.35,5.47,18.7,5,14,4.37,13.43,4.49,5.42,0.6,49.5,12,47.7,60.186,17.859,0.184,4.31,0.6,22,6,40.58,29.25,16.06,7.97,7.2084,47.7,0.349,1554,1528,-100,2309,33726,10223,64,12387,0.75,359.313,5,122,2899,96,,0.487,479,1669,2840,12748,1935,313,2870,1.04,570.938,9,116,2028,97,348,0.487,479,1669,348,2840,12748,1935,313,2870,1.04,570.938,9,116,2028,97
20,A,L,4,MF_200,dACF200_5,dACF200,5.49,5.46,16.2,6,10.28,4.41,9.28,4.22,5.22,0.8,48.9,14,42.1,92.741,7.2393,1.196,4.54,0.8,23,5,40.08,28.76,17.45,8.6,0.2091,42.1,0.3,1689,1540,-103,2019,31377,9468,75,12919,0.64,382.959,6,108,3370,117,,0.858,286,1680,2770,10813,2157,433,4045,1.84,319.955,6,164,2235,131,537,0.858,286,1680,537,2770,10813,2157,433,4045,1.84,319.955,6,164,2235,131
